model,strategy,cagr_pct,sharpe_ratio_dollar,max_drawdown_pct,win_rate_pct,total_pnl
CatBoost,Monthly Stop Loss,16.232949589334456,1.282942555085316,-0.9941076669292356,83.33333333333334,5080665.396937534
CatBoost,Annual Stop Loss,15.546379769620899,2.3691030871203576,0.0,100.0,4663385.384170523
LSTM,Annual Stop Loss,14.892192013003559,1.520730049766479,0.0,100.0,4290371.673961556
LSTM,Monthly Stop Loss,13.741693351973726,0.8802093861518807,0.0,100.0,3688525.4235274643
LightGBM,Annual Stop Loss,12.78075791250657,1.628856185154193,-2.2685414010556033,91.66666666666666,3234675.2032221304
LightGBM,Monthly Stop Loss,12.412486355371133,1.0172416858206437,-6.531216594670906,83.33333333333334,3071689.429093169
XGBoost,Annual Stop Loss,11.709942194346334,1.1330131267069485,-5.343247192033099,83.33333333333334,2776608.140952996
XGBoost,Monthly Stop Loss,9.748538968098043,0.8486956870280112,-12.00382104599527,83.33333333333334,2053408.9108704855
ElasticNet,Annual Stop Loss,6.9938068875021075,2.203658271982475,0.0,100.0,1250627.8166388776
LSTM,Hybrid 10%/100,6.837920600561409,0.5729480895167205,-1.773336592403284,83.33333333333334,1211592.561022129
