year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.36713881890619343,-0.23166147079334415,0.5988002896995376,100,100,500000.0,500000.0,5000.0,5000.0,183569.4094530967,-115830.73539667207,67738.67405642464,0.06773867405642464
2014.0,-0.2181808643935053,0.00439171727255961,-0.22257258166606492,100,100,500000.0,500000.0,5000.0,5000.0,-109090.43219675266,2195.858636279805,-106894.57356047285,-0.10689457356047286
2015.0,-0.18037799291622647,0.503184663615197,-0.6835626565314235,100,100,500000.0,500000.0,5000.0,5000.0,-90188.99645811324,251592.3318075985,161403.33534948528,0.16140333534948528
2016.0,0.2809019094156039,-0.21932075858864447,0.5002226680042483,100,100,500000.0,500000.0,5000.0,5000.0,140450.95470780195,-109660.37929432224,30790.575413479717,0.030790575413479716
2017.0,0.2425680543994836,-0.15513272693662114,0.39770078133610476,100,100,500000.0,500000.0,5000.0,5000.0,121284.0271997418,-77566.36346831056,43717.66373143124,0.04371766373143124
2018.0,-0.3061328174015195,0.27203988030620746,-0.578172697707727,100,100,500000.0,500000.0,5000.0,5000.0,-153066.40870075976,136019.94015310373,-17046.468547656026,-0.017046468547656027
2019.0,-0.07997954725456777,0.165515850205373,-0.24549539745994076,100,100,500000.0,500000.0,5000.0,5000.0,-39989.77362728388,82757.9251026865,42768.151475402614,0.04276815147540261
2020.0,0.598907316884825,-0.8834946379516778,1.4824019548365028,100,100,500000.0,500000.0,5000.0,5000.0,299453.6584424125,-441747.3189758389,-142293.6605334264,-0.14229366053342637
2021.0,-0.4039797866511347,0.4427645311595086,-0.8467443178106433,100,100,500000.0,500000.0,5000.0,5000.0,-201989.89332556736,221382.26557975428,19392.37225418692,0.01939237225418692
2022.0,-0.10050023943291742,0.2868445350608615,-0.3873447744937789,100,100,500000.0,500000.0,5000.0,5000.0,-50250.11971645871,143422.26753043075,93172.14781397204,0.09317214781397204
2023.0,-0.034231911881870615,0.08994374676058581,-0.12417565864245642,100,100,500000.0,500000.0,5000.0,5000.0,-17115.955940935306,44971.873380292905,27855.9174393576,0.0278559174393576
2024.0,-0.006229050490468616,0.2697661309724996,-0.2759951814629682,100,100,500000.0,500000.0,5000.0,5000.0,-3114.525245234308,134883.06548624978,131768.54024101546,0.13176854024101547
