year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.3727950095429678,-0.2983107404751793,0.6711057500181471,100,100,500000.0,500000.0,5000.0,5000.0,186397.5047714839,-149155.37023758964,37242.13453389425,0.03724213453389425
2014.0,-0.19395517291914172,0.06034676429641632,-0.25430193721555805,100,100,500000.0,500000.0,5000.0,5000.0,-96977.58645957086,30173.38214820816,-66804.2043113627,-0.0668042043113627
2015.0,-0.23049961674615202,0.49060420957853823,-0.7211038263246903,100,100,500000.0,500000.0,5000.0,5000.0,-115249.80837307601,245302.10478926913,130052.29641619312,0.13005229641619312
2016.0,0.41805573469406637,-0.06307030595534208,0.48112604064940845,100,100,500000.0,500000.0,5000.0,5000.0,209027.8673470332,-31535.152977671038,177492.71436936216,0.17749271436936218
2017.0,0.0644708063220222,-0.3868666237590268,0.451337430081049,100,100,500000.0,500000.0,5000.0,5000.0,32235.4031610111,-193433.3118795134,-161197.9087185023,-0.1611979087185023
2018.0,-0.32485717406924375,0.2412012304924171,-0.5660584045616608,100,100,500000.0,500000.0,5000.0,5000.0,-162428.5870346219,120600.61524620854,-41827.97178841334,-0.04182797178841334
2019.0,0.22950722817469135,0.10689451552583415,0.1226127126488572,100,100,500000.0,500000.0,5000.0,5000.0,114753.61408734568,53447.25776291708,168200.87185026275,0.16820087185026275
2020.0,0.6689255948069288,-0.7733739045843377,1.4422994993912666,100,100,500000.0,500000.0,5000.0,5000.0,334462.7974034644,-386686.95229216886,-52224.15488870448,-0.05222415488870448
2021.0,-0.4523029178743336,0.4541427828387028,-0.9064457007130364,100,100,500000.0,500000.0,5000.0,5000.0,-226151.45893716678,227071.3914193514,919.9324821846094,0.0009199324821846094
2022.0,-0.09349144750152352,0.1046667884354962,-0.19815823593701973,100,100,500000.0,500000.0,5000.0,5000.0,-46745.72375076176,52333.3942177481,5587.670466986339,0.00558767046698634
2023.0,-0.15088751728444705,-0.1869493748250628,0.03606185754061575,100,100,500000.0,500000.0,5000.0,5000.0,-75443.75864222352,-93474.68741253139,-168918.4460547549,-0.1689184460547549
2024.0,-0.018195327814605994,-0.13756618359492784,0.11937085578032185,100,100,500000.0,500000.0,5000.0,5000.0,-9097.663907302996,-68783.09179746392,-77880.75570476691,-0.07788075570476691
